Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
354 | Educational Psychology Review | journal | 4.321 Q1 | 142 | 118 | 208 | 11698 | 2845 | 197 | 12.23 | 99.14 | 53.76 | 
355 | Inventiones Mathematicae | journal | 4.321 Q1 | 124 | 74 | 219 | 3865 | 659 | 219 | 2.89 | 52.23 | 12.66 | 
356 | Journal of the American Academy of Child and Adolescent Psychiatry | journal | 4.320 Q1 | 273 | 195 | 623 | 6218 | 3386 | 265 | 4.22 | 31.89 | 56.65 | 
357 | Journal of Urban Economics | journal | 4.314 Q1 | 132 | 69 | 163 | 3330 | 1135 | 159 | 5.84 | 48.26 | 21.15 | 
358 | Remote Sensing of Environment | journal | 4.310 Q1 | 350 | 431 | 1433 | 32671 | 19566 | 1423 | 11.99 | 75.80 | 31.14 | 
359 | IEEE Transactions on Communications | journal | 4.307 Q1 | 235 | 600 | 1730 | 20924 | 14392 | 1729 | 7.70 | 34.87 | 27.01 | 
360 | PhotoniX | journal | 4.303 Q1 | 30 | 36 | 73 | 2471 | 1161 | 73 | 14.06 | 68.64 | 28.99 | 
361 | American Sociological Review | journal | 4.295 Q1 | 230 | 38 | 122 | 4361 | 1094 | 116 | 7.21 | 114.76 | 32.53 | 
362 | Global Change Biology | journal | 4.285 Q1 | 313 | 514 | 1545 | 45721 | 18475 | 1432 | 10.85 | 88.95 | 35.75 | 
363 | Cell Reports | journal | 4.279 Q1 | 224 | 1567 | 4162 | 108663 | 33071 | 4149 | 7.37 | 69.34 | 41.48 | 
364 | Cell Reports Medicine | journal | 4.276 Q1 | 50 | 369 | 589 | 20695 | 5212 | 494 | 8.40 | 56.08 | 43.37 | 
365 | npj Digital Medicine | journal | 4.273 Q1 | 84 | 232 | 508 | 11375 | 8001 | 434 | 12.51 | 49.03 | 37.71 | 
366 | Journal of Extracellular Vesicles | journal | 4.268 Q1 | 112 | 90 | 339 | 6069 | 5236 | 323 | 14.91 | 67.43 | 47.22 | 
367 | Psychological Methods | journal | 4.235 Q1 | 183 | 73 | 252 | 5744 | 2167 | 251 | 7.93 | 78.68 | 30.92 | 
368 | Earth System Science Data | journal | 4.231 Q1 | 99 | 262 | 748 | 19747 | 9176 | 316 | 11.20 | 75.37 | 27.13 | 
369 | Lancet Child and Adolescent Health, The | journal | 4.229 Q1 | 69 | 185 | 605 | 3903 | 4592 | 263 | 6.05 | 21.10 | 60.96 | 
370 | IEEE Transactions on Fuzzy Systems | journal | 4.204 Q1 | 218 | 426 | 1070 | 16592 | 11768 | 1062 | 10.99 | 38.95 | 29.27 | 
371 | Cell Discovery | journal | 4.198 Q1 | 59 | 118 | 342 | 5322 | 3424 | 228 | 7.95 | 45.10 | 41.54 | 
372 | PLoS Medicine | journal | 4.198 Q1 | 275 | 168 | 883 | 8110 | 9109 | 869 | 9.19 | 48.27 | 47.25 | 
373 | Communications on Pure and Applied Mathematics | journal | 4.188 Q1 | 120 | 82 | 155 | 3842 | 620 | 155 | 3.89 | 46.85 | 18.95 | 
374 | Information Systems Research | journal | 4.176 Q1 | 185 | 89 | 218 | 6841 | 1687 | 216 | 6.45 | 76.87 | 26.42 | 
375 | IEEE Transactions on Neural Networks and Learning Systems | journal | 4.170 Q1 | 251 | 1818 | 1894 | 46076 | 23364 | 1884 | 11.83 | 25.34 | 28.16 | 
376 | Trends in Immunology | journal | 4.163 Q1 | 256 | 114 | 334 | 7362 | 3400 | 318 | 8.57 | 64.58 | 41.61 | 
377 | Coordination Chemistry Reviews | journal | 4.145 Q1 | 312 | 424 | 1175 | 90368 | 24586 | 1162 | 20.63 | 213.13 | 35.84 | 
378 | Medical Image Analysis | journal | 4.112 Q1 | 171 | 273 | 813 | 19887 | 11160 | 809 | 12.77 | 72.85 | 27.89 | 
379 | MIS Quarterly: Management Information Systems | journal | 4.105 Q1 | 271 | 60 | 207 | 4991 | 2019 | 205 | 7.27 | 83.18 | 28.14 | 
380 | Cell Death and Differentiation | journal | 4.102 Q1 | 257 | 189 | 663 | 13764 | 7849 | 623 | 12.61 | 72.83 | 40.35 | 
381 | Journal of the National Comprehensive Cancer Network : JNCCN | journal | 4.102 Q1 | 150 | 200 | 611 | 7359 | 6158 | 523 | 10.66 | 36.80 | 49.36 | 
382 | European Heart Journal | journal | 4.091 Q1 | 348 | 868 | 2786 | 21303 | 17999 | 1692 | 6.58 | 24.54 | 29.58 | 
383 | Annual Review of Microbiology | journal | 4.082 Q1 | 213 | 33 | 110 | 4145 | 1137 | 107 | 8.50 | 125.61 | 47.50 | 
384 | Human Reproduction Update | journal | 4.074 Q1 | 214 | 39 | 151 | 5581 | 2138 | 133 | 13.58 | 143.10 | 62.81 | 
385 | Trends in Biochemical Sciences | journal | 4.074 Q1 | 301 | 120 | 328 | 7244 | 2792 | 318 | 8.38 | 60.37 | 34.32 | 
386 | Molecular Biology and Evolution | journal | 4.061 Q1 | 245 | 280 | 1048 | 22808 | 10469 | 1025 | 10.73 | 81.46 | 38.15 | 
387 | Communication Methods and Measures | journal | 4.060 Q1 | 43 | 28 | 49 | 2013 | 819 | 49 | 8.72 | 71.89 | 49.47 | 
388 | Autophagy | journal | 4.035 Q1 | 189 | 341 | 828 | 14774 | 8931 | 695 | 10.86 | 43.33 | 44.70 | 
389 | Annual Review of Virology | journal | 4.023 Q1 | 67 | 26 | 85 | 3273 | 870 | 79 | 7.95 | 125.88 | 40.00 | 
390 | Transactions of the Association for Computational Linguistics | journal | 4.006 Q1 | 56 | 97 | 232 | 5911 | 5002 | 232 | 15.63 | 60.94 | 29.27 | 
391 | Aggregate | journal | 3.994 Q1 | 33 | 156 | 153 | 12086 | 2370 | 143 | 14.28 | 77.47 | 37.29 | 
392 | IEEE Transactions on Systems, Man, and Cybernetics: Systems | journal | 3.992 Q1 | 171 | 682 | 1809 | 30712 | 17917 | 1803 | 10.19 | 45.03 | 27.64 | 
393 | Journal of Financial and Quantitative Analysis | journal | 3.980 Q1 | 147 | 221 | 274 | 12411 | 1404 | 274 | 4.79 | 56.16 | 20.86 | 
394 | Blood Cancer Journal | journal | 3.974 Q1 | 76 | 186 | 488 | 5144 | 3636 | 298 | 7.48 | 27.66 | 40.68 | 
395 | EMBO Molecular Medicine | journal | 3.964 Q1 | 142 | 165 | 440 | 9076 | 3842 | 381 | 8.20 | 55.01 | 45.15 | 
396 | Annual Review of Pharmacology and Toxicology | journal | 3.957 Q1 | 224 | 32 | 103 | 4593 | 1346 | 103 | 11.26 | 143.53 | 35.63 | 
397 | Educational Researcher | journal | 3.956 Q1 | 151 | 67 | 205 | 3036 | 2030 | 198 | 6.76 | 45.31 | 48.23 | 
398 | eLife | journal | 3.932 Q1 | 206 | 1655 | 6193 | 114687 | 41633 | 6031 | 6.16 | 69.30 | 39.97 | 
399 | Lancet Haematology,The | journal | 3.923 Q1 | 93 | 195 | 598 | 3178 | 3333 | 291 | 4.89 | 16.30 | 38.80 | 
400 | Journal of the American Statistical Association | journal | 3.922 Q1 | 215 | 296 | 566 | 13000 | 2339 | 516 | 3.58 | 43.92 | 29.85 |

Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
401 | Journal of Retailing | journal | 3.915 Q1 | 159 | 47 | 140 | 3310 | 1519 | 123 | 8.94 | 70.43 | 36.64 | 
402 | Advanced Science | journal | 3.914 Q1 | 187 | 1975 | 3160 | 140487 | 48286 | 3151 | 14.60 | 71.13 | 35.98 | 
403 | Strategic Organization | journal | 3.914 Q1 | 73 | 58 | 116 | 4766 | 837 | 109 | 7.32 | 82.17 | 27.78 | 
404 | JAMA Surgery | journal | 3.905 Q1 | 206 | 421 | 1193 | 6018 | 5683 | 430 | 4.67 | 14.29 | 37.09 | 
